"device_id","signal_id","max_value","id"
"1","1","95.4","563546"
"1","2","25","1623088"
"1","3","3162","440769"
"1","4","9","1564085"
"1","5","621","440771"
"1","6","1482","440772"
"1","7","1486","440773"
"1","8","1739","440774"
"1","9","1581","440775"
"1","10","0","1564073"
"1","11","0.55","1564178"
"1","12","0","1564007"
"1","13","0.5","1564106"
"1","14","0","1564111"
"1","15","0","1564039"
"1","16","0","1564144"
"2","17","84.6","1695139"
"2","18","25.3","48"
"2","19","2296","1696032"
"2","20","9","32"
"2","21","440","1696157"
"2","22","1064","1695944"
"2","23","1065","1696064"
"2","24","1262","1695996"
"2","25","1148","1696130"
"2","26","0","1564159"
"2","27","0.55","1564088"
"2","28","0.5","1564016"
"2","29","0","1742173"
"2","30","0","1564025"
"2","31","0","1564126"
"2","32","0","1564054"
"3","33","80.1","377487"
"3","34","25.6","11"
"3","35","3789","379555"
"3","36","9","1564082"
"3","37","752","379557"
"3","38","1784","379558"
"3","39","1790","379559"
"3","40","2083","379560"
"3","41","1894","379561"
"3","42","0","1564070"
"3","43","0.55","1742241"
"3","44","0.5","1564104"
"3","45","0","1742277"
"3","46","0","1564108"
"3","47","0","1564036"
"3","48","0","1564141"
"4","49","73.7","563038"
"4","50","25","1620906"
"4","51","1679","444543"
"4","52","9","1564424"
"4","53","311","444545"
"4","54","767","444546"
"4","55","765","444547"
"4","56","923","444548"
"4","57","839","444549"
"4","58","0","1564415"
"4","59","0.55","1564091"
"4","60","0.5","1564019"
"4","61","0","1564023"
"4","62","0","1564129"
"4","63","0","1564057"
"4","64","0","1564095"
"5","65","6328","663781"
"5","66","11603","663806"
"5","67","1000","1781447"
"5","68","0","1742333"
"5","69","39.99","1766323"
"5","70","30.42","199"
"5","71","0","1742396"
"5","72","0","1742224"
"5","73","874","1203183"
"5","74","45.2","200"
"5","75","61","1008778"
"6","76","78.3","1344172"
"6","77","24.9","1294884"
"6","78","876","1342646"
"6","79","9","1564258"
"6","80","144","1342491"
"6","81","379","1342605"
"6","82","374","1342527"
"6","83","481","1342641"
"6","84","438","1342563"
"6","85","0","1742231"
"6","86","0.55","1742161"
"6","87","0.5","1564280"
"6","88","0","1742169"
"6","89","0","1742199"
"6","90","0","1564212"
"6","91","0","1564317"
"7","92","90.6","1287227"
"7","93","23.9","1698727"
"7","94","2854","1285066"
"7","95","8.9","1712642"
"7","96","557","1285105"
"7","97","1333","1285021"
"7","98","1336","1285144"
"7","99","1569","1285061"
"7","100","1427","1285184"
"7","101","0","1564074"
"7","102","0.55","1564267"
"7","103","0.5","1564107"
"7","104","0","1564008"
"7","105","0","1564112"
"7","106","0","1564040"
"7","107","0","1564145"
"8","108","94.8","1291400"
"8","109","23.9","1698949"
"8","110","2494","1291315"
"8","111","9","1571020"
"8","112","482","1291354"
"8","113","1160","1291478"
"8","114","1161","1291394"
"8","115","1371","1291309"
"8","116","1247","1291433"
"8","117","0","1564413"
"8","118","0.55","1564089"
"8","119","0.5","1564017"
"8","120","0","1564093"
"8","121","0","1564021"
"8","122","0","1564127"
"8","123","0","1564055"
"9","124","73.8","1695386"
"9","125","24.4","1295893"
"9","126","1059","1699735"
"9","127","9","1288225"
"9","128","182","1699839"
"9","129","467","1699765"
"9","130","463","1699660"
"9","131","582","1699879"
"9","132","0","1564071"
"9","133","0.55","1564058"
"9","134","0.5","1564283"
"9","135","529","1699710"
"9","136","0","1564184"
"9","137","0","1564109"
"9","138","0","1564037"
"9","139","0","1564142"
"10","156","98.2","1286026"
"10","157","23.6","1294245"
"10","158","887","1282441"
"10","159","9","1292422"
"10","160","146","1282474"
"10","161","385","1282403"
"10","162","380","1282507"
"10","163","487","1282436"
"10","164","443","1282541"
"10","165","0","1742205"
"10","166","0.55","1742184"
"10","167","0.5","1742288"
"10","168","0","1742242"
"10","169","0","1564549"
"10","170","0","1742273"
"10","171","0","1564583"
"11","140","100","1595499"
"11","141","24.8","1625666"
"11","142","20000","1689401"
"11","143","9","1593971"
"11","144","1999","1595695"
"11","145","1999","1595474"
"11","146","1999","1595561"
"11","147","11000","1689394"
"11","148","10000","1689525"
"11","149","0","1742152"
"11","150","0.55","1564146"
"11","151","0.5","1564075"
"11","152","0","1564152"
"11","153","0","1564081"
"11","154","0","1564009"
"11","155","0","1564113"
"12","188","60.4","1694525"
"12","189","24.5","1623317"
"12","190","171","1725746"
"12","191","9","1569703"
"12","192","0","1564187"
"12","193","39","1723455"
"12","194","31","1723650"
"12","195","94","1725700"
"12","196","0","1742186"
"12","197","85","1723397"
"12","198","0.55","1742180"
"12","199","0.5","1564163"
"12","200","0","1564181"
"12","201","0","1564285"
"12","202","0","1564318"
"12","208","0","1564213"
"13","172","33","1690546"
"13","173","23.5","1690675"
"13","174","675","1690414"
"13","175","8.3","1594662"
"13","176","102","1690434"
"13","177","282","1690362"
"13","178","276","1690513"
"13","179","371","1690408"
"13","180","337","1690459"
"13","181","0","1564128"
"13","182","0.55","1564056"
"13","183","0.5","1564251"
"13","184","0","1564061"
"13","185","0","1564257"
"13","186","0","1564094"
"13","187","0","1564022"
"14","220","21.6","1690390"
"14","221","24","1626504"
"14","222","331","1690552"
"14","223","9","1564312"
"14","224","30","1690474"
"14","225","116","1690338"
"14","226","109","1690420"
"14","227","182","1690381"
"14","228","165","1690297"
"14","229","0","1564304"
"14","230","0.55","1564232"
"14","231","0.5","1564161"
"14","232","0","1564237"
"14","233","0","1564166"
"14","234","0","1742235"
"14","235","0","1564198"
"15","203","59.1","1782955"
"15","204","24.8","1691568"
"15","205","618","1783117"
"15","206","9","1564050"
"15","207","90","1783193"
"15","209","255","1783143"
"15","210","339","1782988"
"15","211","249","1782945"
"15","212","309","1783088"
"15","213","0","1564038"
"15","214","0.55","1564143"
"15","215","0.5","1564072"
"15","216","0","1742194"
"15","217","0","1564078"
"15","218","0","1564006"
"15","219","0","1564110"
"16","236","42.6","1690457"
"16","237","24.2","1688447"
"16","238","697","1288737"
"16","239","9","1564138"
"16","240","107","1288770"
"16","241","293","1288874"
"16","242","287","1288803"
"16","243","383","1288731"
"16","244","348","1288836"
"16","245","0","1564130"
"16","246","0.55","1564059"
"16","247","0","1564063"
"16","248","0.5","1742247"
"16","249","0","1564254"
"16","250","0","1564096"
"16","251","0","1564024"
"17","252","68.5","1695671"
"17","253","23.8","1614189"
"17","254","986","1742274"
"17","255","9","1573607"
"17","256","167","1742206"
"17","257","432","1742317"
"17","258","428","1742125"
"17","259","542","1742238"
"17","260","493","1742175"
"17","261","0","1742167"
"17","262","0.55","1564235"
"17","263","0.5","1564164"
"17","264","0","1564239"
"17","265","0","1564168"
"17","266","0","1564272"
"17","267","0","1742201"
